reg_name,reg_addr
HCAN0_MCR_B,0xFFFFE400
HCAN0_GSR_B,0xFFFFE401
HCAN0_BCR_W,0xFFFFE402
HCAN0_MBCR_W,0xFFFFE404
HCAN0_TXPR_W,0xFFFFE406
HCAN0_TXCR_W,0xFFFFE408
HCAN0_TXACK_W,0xFFFFE40A
HCAN0_ABACK_W,0xFFFFE40C
HCAN0_RXPR_W,0xFFFFE40E
HCAN0_RFPR_W,0xFFFFE410
HCAN0_IRR_W,0xFFFFE412
HCAN0_MBIMR_W,0xFFFFE414
HCAN0_IMR_W,0xFFFFE416
HCAN0_REC_B,0xFFFFE418
HCAN0_TEC_B,0xFFFFE419
HCAN0_UMSR_W,0xFFFFE41A
HCAN0_LAFML_W,0xFFFFE41C
HCAN0_LAFMH_W,0xFFFFE41E
HCAN0_MC0[1]_B,0xFFFFE420
HCAN0_MC0[2]_B,0xFFFFE421
HCAN0_MC0[3]_B,0xFFFFE422
HCAN0_MC0[4]_B,0xFFFFE423
HCAN0_MC0[5]_B,0xFFFFE424
HCAN0_MC0[6]_B,0xFFFFE425
HCAN0_MC0[7]_B,0xFFFFE426
HCAN0_MC0[8]_B,0xFFFFE427
HCAN0_MC1[1]_B,0xFFFFE428
HCAN0_MC1[2]_B,0xFFFFE429
HCAN0_MC1[3]_B,0xFFFFE42A
HCAN0_MC1[4]_B,0xFFFFE42B
HCAN0_MC1[5]_B,0xFFFFE42C
HCAN0_MC1[6]_B,0xFFFFE42D
HCAN0_MC1[7]_B,0xFFFFE42E
HCAN0_MC1[8]_B,0xFFFFE42F
HCAN0_MC2[1]_B,0xFFFFE430
HCAN0_MC2[2]_B,0xFFFFE431
HCAN0_MC2[3]_B,0xFFFFE432
HCAN0_MC2[4]_B,0xFFFFE433
HCAN0_MC2[5]_B,0xFFFFE434
HCAN0_MC2[6]_B,0xFFFFE435
HCAN0_MC2[7]_B,0xFFFFE436
HCAN0_MC2[8]_B,0xFFFFE437
HCAN0_MC3[1]_B,0xFFFFE438
HCAN0_MC3[2]_B,0xFFFFE439
HCAN0_MC3[3]_B,0xFFFFE43A
HCAN0_MC3[4]_B,0xFFFFE43B
HCAN0_MC3[5]_B,0xFFFFE43C
HCAN0_MC3[6]_B,0xFFFFE43D
HCAN0_MC3[7]_B,0xFFFFE43E
HCAN0_MC3[8]_B,0xFFFFE43F
HCAN0_MC4[1]_B,0xFFFFE440
HCAN0_MC4[2]_B,0xFFFFE441
HCAN0_MC4[3]_B,0xFFFFE442
HCAN0_MC4[4]_B,0xFFFFE443
HCAN0_MC4[5]_B,0xFFFFE444
HCAN0_MC4[6]_B,0xFFFFE445
HCAN0_MC4[7]_B,0xFFFFE446
HCAN0_MC4[8]_B,0xFFFFE447
HCAN0_MC5[1]_B,0xFFFFE448
HCAN0_MC5[2]_B,0xFFFFE449
HCAN0_MC5[3]_B,0xFFFFE44A
HCAN0_MC5[4]_B,0xFFFFE44B
HCAN0_MC5[5]_B,0xFFFFE44C
HCAN0_MC5[6]_B,0xFFFFE44D
HCAN0_MC5[7]_B,0xFFFFE44E
HCAN0_MC5[8]_B,0xFFFFE44F
HCAN0_MC6[1]_B,0xFFFFE450
HCAN0_MC6[2]_B,0xFFFFE451
HCAN0_MC6[3]_B,0xFFFFE452
HCAN0_MC6[4]_B,0xFFFFE453
HCAN0_MC6[5]_B,0xFFFFE454
HCAN0_MC6[6]_B,0xFFFFE455
HCAN0_MC6[7]_B,0xFFFFE456
HCAN0_MC6[8]_B,0xFFFFE457
HCAN0_MC7[1]_B,0xFFFFE458
HCAN0_MC7[2]_B,0xFFFFE459
HCAN0_MC7[3]_B,0xFFFFE45A
HCAN0_MC7[4]_B,0xFFFFE45B
HCAN0_MC7[5]_B,0xFFFFE45C
HCAN0_MC7[6]_B,0xFFFFE45D
HCAN0_MC7[7]_B,0xFFFFE45E
HCAN0_MC7[8]_B,0xFFFFE45F
HCAN0_MC8[1]_B,0xFFFFE460
HCAN0_MC8[2]_B,0xFFFFE461
HCAN0_MC8[3]_B,0xFFFFE462
HCAN0_MC8[4]_B,0xFFFFE463
HCAN0_MC8[5]_B,0xFFFFE464
HCAN0_MC8[6]_B,0xFFFFE465
HCAN0_MC8[7]_B,0xFFFFE466
HCAN0_MC8[8]_B,0xFFFFE467
HCAN0_MC9[1]_B,0xFFFFE468
HCAN0_MC9[2]_B,0xFFFFE469
HCAN0_MC9[3]_B,0xFFFFE46A
HCAN0_MC9[4]_B,0xFFFFE46B
HCAN0_MC9[5]_B,0xFFFFE46C
HCAN0_MC9[6]_B,0xFFFFE46D
HCAN0_MC9[7]_B,0xFFFFE46E
HCAN0_MC9[8]_B,0xFFFFE46F
HCAN0_MC10[1]_B,0xFFFFE470
HCAN0_MC10[2]_B,0xFFFFE471
HCAN0_MC10[3]_B,0xFFFFE472
HCAN0_MC10[4]_B,0xFFFFE473
HCAN0_MC10[5]_B,0xFFFFE474
HCAN0_MC10[6]_B,0xFFFFE475
HCAN0_MC10[7]_B,0xFFFFE476
HCAN0_MC10[8]_B,0xFFFFE477
HCAN0_MC11[1]_B,0xFFFFE478
HCAN0_MC11[2]_B,0xFFFFE479
HCAN0_MC11[3]_B,0xFFFFE47A
HCAN0_MC11[4]_B,0xFFFFE47B
HCAN0_MC11[5]_B,0xFFFFE47C
HCAN0_MC11[6]_B,0xFFFFE47D
HCAN0_MC11[7]_B,0xFFFFE47E
HCAN0_MC11[8]_B,0xFFFFE47F
HCAN0_MC12[1]_B,0xFFFFE480
HCAN0_MC12[2]_B,0xFFFFE481
HCAN0_MC12[3]_B,0xFFFFE482
HCAN0_MC12[4]_B,0xFFFFE483
HCAN0_MC12[5]_B,0xFFFFE484
HCAN0_MC12[6]_B,0xFFFFE485
HCAN0_MC12[7]_B,0xFFFFE486
HCAN0_MC12[8]_B,0xFFFFE487
HCAN0_MC13[1]_B,0xFFFFE488
HCAN0_MC13[2]_B,0xFFFFE489
HCAN0_MC13[3]_B,0xFFFFE48A
HCAN0_MC13[4]_B,0xFFFFE48B
HCAN0_MC13[5]_B,0xFFFFE48C
HCAN0_MC13[6]_B,0xFFFFE48D
HCAN0_MC13[7]_B,0xFFFFE48E
HCAN0_MC13[8]_B,0xFFFFE48F
HCAN0_MC14[1]_B,0xFFFFE490
HCAN0_MC14[2]_B,0xFFFFE491
HCAN0_MC14[3]_B,0xFFFFE492
HCAN0_MC14[4]_B,0xFFFFE493
HCAN0_MC14[5]_B,0xFFFFE494
HCAN0_MC14[6]_B,0xFFFFE495
HCAN0_MC14[7]_B,0xFFFFE496
HCAN0_MC14[8]_B,0xFFFFE497
HCAN0_MC15[1]_B,0xFFFFE498
HCAN0_MC15[2]_B,0xFFFFE499
HCAN0_MC15[3]_B,0xFFFFE49A
HCAN0_MC15[4]_B,0xFFFFE49B
HCAN0_MC15[5]_B,0xFFFFE49C
HCAN0_MC15[6]_B,0xFFFFE49D
HCAN0_MC15[7]_B,0xFFFFE49E
HCAN0_MC15[8]_B,0xFFFFE49F
HCAN0_MD0[1]_B,0xFFFFE4B0
HCAN0_MD0[2]_B,0xFFFFE4B1
HCAN0_MD0[3]_B,0xFFFFE4B2
HCAN0_MD0[4]_B,0xFFFFE4B3
HCAN0_MD0[5]_B,0xFFFFE4B4
HCAN0_MD0[6]_B,0xFFFFE4B5
HCAN0_MD0[7]_B,0xFFFFE4B6
HCAN0_MD0[8]_B,0xFFFFE4B7
HCAN0_MD1[1]_B,0xFFFFE4B8
HCAN0_MD1[2]_B,0xFFFFE4B9
HCAN0_MD1[3]_B,0xFFFFE4BA
HCAN0_MD1[4]_B,0xFFFFE4BB
HCAN0_MD1[5]_B,0xFFFFE4BC
HCAN0_MD1[6]_B,0xFFFFE4BD
HCAN0_MD1[7]_B,0xFFFFE4BE
HCAN0_MD1[8]_B,0xFFFFE4BF
HCAN0_MD2[1]_B,0xFFFFE4C0
HCAN0_MD2[2]_B,0xFFFFE4C1
HCAN0_MD2[3]_B,0xFFFFE4C2
HCAN0_MD2[4]_B,0xFFFFE4C3
HCAN0_MD2[5]_B,0xFFFFE4C4
HCAN0_MD2[6]_B,0xFFFFE4C5
HCAN0_MD2[7]_B,0xFFFFE4C6
HCAN0_MD2[8]_B,0xFFFFE4C7
HCAN0_MD3[1]_B,0xFFFFE4C8
HCAN0_MD3[2]_B,0xFFFFE4C9
HCAN0_MD3[3]_B,0xFFFFE4CA
HCAN0_MD3[4]_B,0xFFFFE4CB
HCAN0_MD3[5]_B,0xFFFFE4CC
HCAN0_MD3[6]_B,0xFFFFE4CD
HCAN0_MD3[7]_B,0xFFFFE4CE
HCAN0_MD3[8]_B,0xFFFFE4CF
HCAN0_MD4[1]_B,0xFFFFE4D0
HCAN0_MD4[2]_B,0xFFFFE4D1
HCAN0_MD4[3]_B,0xFFFFE4D2
HCAN0_MD4[4]_B,0xFFFFE4D3
HCAN0_MD4[5]_B,0xFFFFE4D4
HCAN0_MD4[6]_B,0xFFFFE4D5
HCAN0_MD4[7]_B,0xFFFFE4D6
HCAN0_MD4[8]_B,0xFFFFE4D7
HCAN0_MD5[1]_B,0xFFFFE4D8
HCAN0_MD5[2]_B,0xFFFFE4D9
HCAN0_MD5[3]_B,0xFFFFE4DA
HCAN0_MD5[4]_B,0xFFFFE4DB
HCAN0_MD5[5]_B,0xFFFFE4DC
HCAN0_MD5[6]_B,0xFFFFE4DD
HCAN0_MD5[7]_B,0xFFFFE4DE
HCAN0_MD5[8]_B,0xFFFFE4DF
HCAN0_MD6[1]_B,0xFFFFE4E0
HCAN0_MD6[2]_B,0xFFFFE4E1
HCAN0_MD6[3]_B,0xFFFFE4E2
HCAN0_MD6[4]_B,0xFFFFE4E3
HCAN0_MD6[5]_B,0xFFFFE4E4
HCAN0_MD6[6]_B,0xFFFFE4E5
HCAN0_MD6[7]_B,0xFFFFE4E6
HCAN0_MD6[8]_B,0xFFFFE4E7
HCAN0_MD7[1]_B,0xFFFFE4E8
HCAN0_MD7[2]_B,0xFFFFE4E9
HCAN0_MD7[3]_B,0xFFFFE4EA
HCAN0_MD7[4]_B,0xFFFFE4EB
HCAN0_MD7[5]_B,0xFFFFE4EC
HCAN0_MD7[6]_B,0xFFFFE4ED
HCAN0_MD7[7]_B,0xFFFFE4EE
HCAN0_MD7[8]_B,0xFFFFE4EF
HCAN0_MD8[1]_B,0xFFFFE4F0
HCAN0_MD8[2]_B,0xFFFFE4F1
HCAN0_MD8[3]_B,0xFFFFE4F2
HCAN0_MD8[4]_B,0xFFFFE4F3
HCAN0_MD8[5]_B,0xFFFFE4F4
HCAN0_MD8[6]_B,0xFFFFE4F5
HCAN0_MD8[7]_B,0xFFFFE4F6
HCAN0_MD8[8]_B,0xFFFFE4F7
HCAN0_MD9[1]_B,0xFFFFE4F8
HCAN0_MD9[2]_B,0xFFFFE4F9
HCAN0_MD9[3]_B,0xFFFFE4FA
HCAN0_MD9[4]_B,0xFFFFE4FB
HCAN0_MD9[5]_B,0xFFFFE4FC
HCAN0_MD9[6]_B,0xFFFFE4FD
HCAN0_MD9[7]_B,0xFFFFE4FE
HCAN0_MD9[8]_B,0xFFFFE4FF
HCAN0_MD10[1]_B,0xFFFFE500
HCAN0_MD10[2]_B,0xFFFFE501
HCAN0_MD10[3]_B,0xFFFFE502
HCAN0_MD10[4]_B,0xFFFFE503
HCAN0_MD10[5]_B,0xFFFFE504
HCAN0_MD10[6]_B,0xFFFFE505
HCAN0_MD10[7]_B,0xFFFFE506
HCAN0_MD10[8]_B,0xFFFFE507
HCAN0_MD11[1]_B,0xFFFFE508
HCAN0_MD11[2]_B,0xFFFFE509
HCAN0_MD11[3]_B,0xFFFFE50A
HCAN0_MD11[4]_B,0xFFFFE50B
HCAN0_MD11[5]_B,0xFFFFE50C
HCAN0_MD11[6]_B,0xFFFFE50D
HCAN0_MD11[7]_B,0xFFFFE50E
HCAN0_MD11[8]_B,0xFFFFE50F
HCAN0_MD12[1]_B,0xFFFFE510
HCAN0_MD12[2]_B,0xFFFFE511
HCAN0_MD12[3]_B,0xFFFFE512
HCAN0_MD12[4]_B,0xFFFFE513
HCAN0_MD12[5]_B,0xFFFFE514
HCAN0_MD12[6]_B,0xFFFFE515
HCAN0_MD12[7]_B,0xFFFFE516
HCAN0_MD12[8]_B,0xFFFFE517
HCAN0_MD13[1]_B,0xFFFFE518
HCAN0_MD13[2]_B,0xFFFFE519
HCAN0_MD13[3]_B,0xFFFFE51A
HCAN0_MD13[4]_B,0xFFFFE51B
HCAN0_MD13[5]_B,0xFFFFE51C
HCAN0_MD13[6]_B,0xFFFFE51D
HCAN0_MD13[7]_B,0xFFFFE51E
HCAN0_MD13[8]_B,0xFFFFE51F
HCAN0_MD14[1]_B,0xFFFFE520
HCAN0_MD14[2]_B,0xFFFFE521
HCAN0_MD14[3]_B,0xFFFFE522
HCAN0_MD14[4]_B,0xFFFFE523
HCAN0_MD14[5]_B,0xFFFFE524
HCAN0_MD14[6]_B,0xFFFFE525
HCAN0_MD14[7]_B,0xFFFFE526
HCAN0_MD14[8]_B,0xFFFFE527
HCAN0_MD15[1]_B,0xFFFFE528
HCAN0_MD15[2]_B,0xFFFFE529
HCAN0_MD15[3]_B,0xFFFFE52A
HCAN0_MD15[4]_B,0xFFFFE52B
HCAN0_MD15[5]_B,0xFFFFE52C
HCAN0_MD15[6]_B,0xFFFFE52D
HCAN0_MD15[7]_B,0xFFFFE52E
HCAN0_MD15[8]_B,0xFFFFE52F
FLASH_FLMCR1_B,0xFFFFE800
FLASH_FLMCR2_B,0xFFFFE801
FLASH_EBR1_B,0xFFFFE802
FLASH_EBR2_B,0xFFFFE803
UBC_UBARH_W,0xFFFFEC00
UBC_UBARL_W,0xFFFFEC02
UBC_UBAMRH_W,0xFFFFEC04
UBC_UBAMRL_W,0xFFFFEC06
UBC_UBBR_W,0xFFFFEC08
UBC_UBCR_W,0xFFFFEC0A
WDT_TCSR[RW]_B,0xFFFFEC10
WDT_TCNT_B,0xFFFFEC11
WDT_RSTCSR[W]_B,0xFFFFEC12
WDT_RSTCSR[R]_B,0xFFFFEC13
SBYCR_B,0xFFFFEC14
BSC_BCR1_W,0xFFFFEC20
BSC_BCR2_W,0xFFFFEC22
BSC_WCR_W,0xFFFFEC24
BSC_RAMER_W,0xFFFFEC26
DMAC_DMAOR_W,0xFFFFECB0
DMAC_SAR0_L,0xFFFFECC0
DMAC_DAR0_L,0xFFFFECC4
DMAC_DMATCR0_L,0xFFFFECC8
DMAC_CHCR0_L,0xFFFFECCC
DMAC_SAR1_L,0xFFFFECD0
DMAC_DAR1_L,0xFFFFECD4
DMAC_DMATCR1_L,0xFFFFECD8
DMAC_CHCR1_L,0xFFFFECDC
DMAC_SAR2_L,0xFFFFECE0
DMAC_DAR2_L,0xFFFFECE4
DMAC_DMATCR2_L,0xFFFFECE8
DMAC_CHCR2_L,0xFFFFECEC
DMAC_SAR3_L,0xFFFFECF0
DMAC_DAR3_L,0xFFFFECF4
DMAC_DMATCR3_L,0xFFFFECF8
DMAC_CHCR3_L,0xFFFFECFC
IPRA_W,0xFFFFED00
IPRC_W,0xFFFFED04
IPRD_W,0xFFFFED06
IPRE_W,0xFFFFED08
IPRF_W,0xFFFFED0A
IPRG_W,0xFFFFED0C
IPRH_W,0xFFFFED0E
